položaj,ime,celina,država,ocena,višinska_razlika,proge,modre,rdeče,črne,žičnice
117,Bald Mountain – Sun Valley,North America,USA,3.7,1036.0,92.0,35.0,40.0,17.0,12
117,Stratton,North America,USA,3.6,581.0,92.0,60.0,20.0,12.0,11
119,Åre,Europe,Sweden,4.2,894.0,91.0,45.0,38.0,8.0,35
119,Marmot Basin – Jasper,North America,Canada,3.8,820.0,91.0,26.0,26.0,39.0,7
119,Whitefish Mountain Resort,North America,USA,3.6,717.0,91.0,18.0,46.0,27.0,16
122,Alto Sangro – Roccaraso/Rivisondoli,Europe,Italy,3.6,832.0,90.5,37.0,32.6,20.9,24
123,Chamrousse,Europe,France,3.6,850.0,90.0,45.0,35.0,10.0,16
123,Mt. Hood Meadows,North America,USA,3.6,847.0,90.0,13.5,45.0,31.5,12
123,Le Grand Bornand,Europe,France,3.6,1100.0,90.0,57.0,24.0,9.0,25
123,Valberg/Beuil les Launes,Europe,France,3.4,608.0,90.0,45.0,35.0,10.0,23
127,Mammoth Mountain,North America,USA,4.4,945.0,89.8,18.4,48.5,22.9,25
128,Rinderberg/Saanerslochgrat/Horneggli – Zweisimmen/Saanenmöser/Schönried/St. Stephan,Europe,Switzerland,4.0,1063.0,88.9,64.3,20.6,4.0,15
129,Telluride,North America,USA,4.5,1155.0,88.2,6.7,51.7,29.8,19
130,Sugarloaf,North America,USA,3.5,860.0,87.0,20.0,30.0,37.0,15
131,3 Zinnen Dolomites – Helm/Stiergarten/Rotwand/Kreuzbergpass,Europe,Italy,4.3,1070.0,86.4,40.4,37.6,8.4,20
132,Adelboden/Lenk – Chuenisbärgli/Silleren/Hahnenmoos/Metsch,Europe,Switzerland,4.4,940.0,86.0,46.0,34.0,6.0,25
133,Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal),Europe,Austria,4.7,1778.0,85.6,29.7,41.3,14.6,40
134,Sugarbush,North America,USA,3.5,788.0,85.0,17.0,38.0,30.0,15
134,Purgatory – Durango,North America,USA,3.5,619.0,85.0,15.0,40.0,30.0,10
134,Les Portes du Mont-Blanc – Combloux/Megève le Jaillet/La Giettaz,Europe,France,3.5,722.0,85.0,28.0,50.0,7.0,22
137,Sunday River,North America,USA,4.2,707.0,84.8,25.5,30.5,28.8,20
138,Villars/Gryon/Les Diablerets,Europe,Switzerland,3.5,896.0,84.0,43.0,38.0,3.0,25
139,Shigakogen Mountain Resort,Asia,Japan,3.6,967.0,83.0,41.0,30.0,12.0,48
140,Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,Europe,Austria,4.4,1440.0,82.7,30.8,49.3,2.6,18
141,Tremblant,North America,Canada,4.3,645.0,81.9,21.6,24.5,35.8,14
142,Damüls Mellau,Europe,Austria,4.2,1340.0,80.8,29.9,49.0,1.9,21
143,Katschberg,Europe,Austria,4.3,1154.0,80.0,12.0,56.0,12.0,17
143,Snowbasin,North America,USA,4.0,900.0,80.0,16.0,40.0,24.0,13
143,Cerler,Europe,Spain,4.0,1130.0,80.0,36.0,29.0,15.0,20
143,Kimberley,North America,Canada,3.8,752.0,80.0,15.0,35.0,30.0,5
